from,to,relation
JH,SU,1
JH,TTP,1
JH,EA,1
JH,CA,1
JH,USCM,1
MT,RCC,1
MT,VC,1
MT,VZ,1
MT,LCV,1
MT,SAP,1
MT,VCM,1
ET,TTP,1
ET,AA,1
ET,EUT,1
ET,LBA,1
HK,VFBU,1
HK,OSS,1
HK,BSS,1
IV,AK,1
IV,RCC,1
IV,IBF,1
IV,CL,1
IV,RRV,1
IV,CSMT,1
JN,GBL,1
JN,BKSB,1
JN,KSB,1
JN,SMSS,1
SL,KAF,1
SL,BD,1
SL,IVC,1
SL,PSU,1
MS,BVMB,1
MS,DSC,1
MS,BSBC,1
MS,STM,1
MS,DIT,1
MS,GHO,1
MS,CVB,1
HJ,VFBT,1
HJ,VCS,1
HD,MTVI,1
HD,BSS,1
KR,UOA,1
KR,BA,1
KR,LUB,1
LB,FVTM,1
LB,BSPS,1
LB,VCOB,1
RK,OKB,1
RK,LPV,1
RK,LPK,1
RK,HL,1
RK,KI,1
RK,SP,1
LG,EJS,1
LG,BSS,1
HK,DE,2
HD,DE,2
LB,DE,2
LG,DE,2
JH,NE,2
ET,NE,2
HJ,NE,2
SL,USA,2
KR,USA,2
JN,PL,2
IV,BL,2
RK,FN,2
MT,BG,2
MS,ES,2