id,name,type,birth,age,position,country,time
JH,Juliet Lohuis,0,2,2,0,1,1
MT,Mira Todorova,0,3,3,0,5,2
ET,Eline Timmerman,0,1,1,0,1,3
HK,Hannah Kohn,0,0,0,1,0,3
IV,Ilka Van de Vyver,0,3,3,1,4,3
JN,Julia Nowicka,0,1,1,1,6,3
SL,Simone Lee,0,2,2,2,2,2
MS,Maria Segura Palleres,0,3,3,2,7,2
HJ,Hester Jasper,0,0,0,2,1,2
HD,Helena Dornheim,0,0,0,2,0,0
KR,Krystel Rivers,0,3,3,3,2,0
LB,Lara Berger,0,0,0,3,0,1
RK,Roosa Koskelo,0,4,3,4,3,0
LG,Lena Grundt,0,0,0,4,0,2
MTVS,Allianz MTV Stuttgart,1,,,,,
SU,Set-up '65,1,,,,,
TTP,Talent Team Papendal,1,,,,,
EA,Eurosped Almelo,1,,,,,
CA,Coolen Alterno,1,,,,,
USCM,USC Münster,1,,,,,
RCC,RC Cannes,1,,,,,
VC,Volero Le Cannet,1,,,,,
VZ,Volero Zürich,1,,,,,
LCV,Le Cannet Volley Ball,1,,,,,
SAP,Sm'Aesch Pfeffingen,1,,,,,
VCM,VC Maritza,1,,,,,
AA,Alterno Apeldoorn,1,,,,,
EUT,Eurosped Twente,1,,,,,
LBA,Ladies in Black Aachen,1,,,,,
VFBU,VfB Ulm,1,,,,,
OSS,Olympiastützpunkt Stuttgart,1,,,,,
BSS,Bundesstützpunkt Stuttgart,1,,,,,
AK,Aterix Kieldrecht,1,,,,,
IBF,Il Bisonte Firenze,1,,,,,
CL,Calcit Ljubljana,1,,,,,
RRV,Rote Raben Vilsbiburg,1,,,,,
CSMT,CSM Targoviste,1,,,,,
GBL,Grot Budowlani Lodz,1,,,,,
BKSB,BKS Profi Credit Bielsko-Biala,1,,,,,
KSB,KS Palac Bydgoszcz U20,1,,,,,
SMSS,SMS PZPS Szczyrk,1,,,,,
KAF,Kurobe AquaFairies,1,,,,,
BD,Beylikduzu,1,,,,,
IVC,Imoco Volley Conegliano,1,,,,,
PSU,Penn State University,1,,,,,
BVMB,Banca Valsabbina Millenium Brescia,1,,,,,
DSC,Dresdner SC 1898,1,,,,,
BSBC,Bosca San Bernardo Cuneo,1,,,,,
STM,Saugella Team Monza,1,,,,,
DIT,Delta Informatica Trentino,1,,,,,
GHO,Geovillage Hermaea Olbia,1,,,,,
CVB,CV Barcelona,1,,,,,
VFBT,VfB Suhl Lotto Thüringen,1,,,,,
VCS,VC Sneek,1,,,,,
MTVI,Allianz MTV Stuttgart II,1,,,,,
UOA,University of Alabama,1,,,,,
BA,Beziers Angels,1,,,,,
LUB,Luka Bar,1,,,,,
FVTM,FV Tübinger Modell,1,,,,,
BSPS,BSP MTV Stuttgart,1,,,,,
VCOB,VCO Berlin,1,,,,,
OKB,OK Nova KBM Branik,1,,,,,
LPV,LP Viesti,1,,,,,
LPK,LP Kangasala,1,,,,,
HL,Hämeenlinnan Lentopallokerho,1,,,,,
KI,Kimmo,1,,,,,
SP,Someron Pallo,1,,,,,
EJS,Eigene Jugend MTV Stuttgart,1,,,,,
DE,Deutschland,1,,,,,
NE,Niederlande,1,,,,,
USA,Vereinigte Staaten von Amerika,1,,,,,
PL,Polen,1,,,,,
BL,Belgien,1,,,,,
FN,Finnland,1,,,,,
BG,Bulgarien,1,,,,,
ES,Spanien,1,,,,,